depth	min	max	median	mean
0	-68.5	-68.5	-68.5	-68.5
1	-67.4	-67.2	-67.3	-67.3
2	-65.9	-65.5	-65.7	-65.7
3	-64.1	-63.5	-63.8	-63.8
4	-62.3	-61.6	-62	-62
5	-60.3	-59.4	-59.9	-59.9
6	-58	-57	-57.5	-57.5
7	-55.6	-54.4	-55	-55
8	-53.2	-51.7	-52.4	-52.4
9	-50.8	-49.2	-50	-50
10	-48.1	-46.4	-47.2	-47.2
11	-46	-44	-44.9	-44.9
12	-43.6	-41.4	-42.4	-42.4
13	-41.2	-38.7	-39.9	-39.9
14	-38.8	-36.1	-37.4	-37.4
15	-36.1	-33.1	-34.6	-34.6
16	-33.8	-30.5	-32.1	-32.1
17	-31.1	-27.4	-29.2	-29.2
18	-28.2	-24.1	-26.1	-26.1
19	-25.5	-20.8	-23	-23.1
20	-21.6	-16.3	-18.7	-18.8
21	-14	-8.8	-11.3	-11.3
22	-3.2	3.7	0.6	0.5
23	11.6	22	18.2	17.9
24	29.3	48.7	41.8	41.1
25	38.9	68.9	57.8	56.9
26	44.5	84.9	68.8	67.9
27	48.7	103.7	79.1	78.5
28	52.1	125.8	88.5	88.8
29	56.2	146.3	98.1	99
